,el_kWh,Qh_40_kWh,Qh_60_kWh,Qc_kWh
779,1755.613,993.184,312.533,0
780,1462.334,718.802,307.773,0
781,1529.412,830.157,329.319,0
782,2054.506,719.329,301.819,0
783,1756.13,761.505,260.133,0
784,1528.439,787.35,231.146,0
785,990.019,827.069,244.795,0
786,1055.018,124.694,287.73,0
787,1146.168,47.496,287.724,0
788,450.958,404.956,231.235,0
789,445.642,0,182.685,0
790,445.385,0,96.191,0
791,390.535,0,69.096,0
792,388.02,0,28.929,0
793,388.013,0,18.061,0
794,388.008,0,20.326,0
795,388.008,0,20.333,0
796,388.009,0,15.763,0
797,434.952,0,125.097,0
798,727.157,408.572,326.916,0
799,981.595,1611.829,327.313,0
800,1465.617,1431.763,351.592,0
801,1774.62,1266.312,369.766,0
802,2044.18,990.996,350.03,0
803,1748.198,916.389,312.212,0
804,1458.239,470.769,307.282,0
805,1535.385,499.523,328.575,0
806,2061.039,445.006,300.979,0
807,1764.41,538.188,259.472,0
808,1531.24,571.145,230.62,0
809,991.602,609.479,244.311,0
810,1054.889,41.246,287.263,0
811,1145.821,3.317,287.266,0
812,451.112,313.392,230.906,0
813,446.499,0,182.403,0
814,446.371,0,96.026,0
815,390.549,0,68.97,0
816,388.02,0,28.863,0
817,388.013,0,18.012,0
818,388.008,0,20.263,0
819,388.008,0,20.298,0
820,388.009,0,15.76,0
821,434.66,0,125.127,0
822,723.793,391.671,327.041,0
823,981.984,1524.96,327.342,0
824,1464.979,1301.301,351.674,0
825,1777.049,1074.823,369.713,0
826,2051.679,818.107,349.941,0
827,1758.794,742.546,312.11,0
828,1464.106,403.335,307.333,0
829,1536.189,507.044,328.764,0
830,2062.136,440.967,301.197,0
831,1761.73,490.687,259.619,0
832,1533.02,524.885,230.738,0
833,989.645,610.385,244.476,0
834,1049.203,65.039,287.441,0
835,1149.014,13.304,287.464,0
836,450.749,353.075,231.086,0
837,446.063,0,182.558,0
838,445.578,0,96.13,0
839,390.52,0,69.058,0
840,388.02,0,28.05,0
841,388.02,0,30.625,0
842,388.016,0,20.816,0
843,388.008,0,16.188,0
844,388.008,0,16.203,0
845,436.446,0,35.892,0
846,718.994,407.267,93.434,0
847,756.82,640.141,195.11,0
848,717.396,640.531,322.81,0
849,718.605,574.269,327.154,0
850,718.372,491.592,301.844,0
851,718.271,417.827,340.29,0
852,1066.824,14.432,328.885,0
853,774.97,236.1,292.745,0
854,717.236,286.994,224.037,0
855,716.539,298.263,190.703,0
856,714.604,311.952,233.479,0
857,760.801,261.92,299.301,0
858,1044.48,26.134,363.399,0
859,1136.694,4.448,287.602,0
860,449.524,283.26,171.976,0
861,445.172,0,173.092,0
862,444.5,0,123.727,0
863,390.449,0,67.178,0
864,388.023,0,36.208,0
865,388.019,0,27.605,0
866,388.016,0,22.226,0
867,388.008,0,15.86,0
868,388.008,0,15.882,0
869,434.73,0,22.258,0
870,734.592,377.792,63.25,0
871,441.922,629.061,146.006,0
872,392.197,640.61,229.357,0
873,392.234,588.628,301.748,0
874,392.247,519.834,329.361,0
875,392.253,466.125,336.886,0
