Name,hs,dhw,hs_and_dhw,cs,el
B3911,78.025,9.543,87.56800000000001,0.0,18.366
B1860,57.309,2.363,59.672,0.0,3.68
B1874,298.006,5.3,303.306,0.0,93.839
B3905,0.0,0.0,0.0,0.0,0.136
B2428,0.0,0.0,0.0,0.0,0.332
B3736,15.55,0.919,16.469,0.0,1.857
B4059,52.691,2.26,54.951,0.0,3.388
B1121,65.991,4.223,70.214,0.0,7.439
B1647,75.884,2.433,78.31700000000001,0.0,8.329
B3050,21.901,1.312,23.213,0.0,1.788
B3044,33.506,1.202,34.708,0.0,2.756
B1653,40.061,5.72,45.781,0.0,11.622
B1135,16.898,1.033,17.931,0.0,2.067
B3722,43.826,0.932,44.758,0.0,1.92
B2414,99.434,1.735,101.169,0.0,27.838
B4065,0.0,0.0,0.0,0.0,0.051
B2372,49.002,8.332,57.334,0.0,17.054
B3078,0.0,0.0,0.0,0.0,0.288
B2366,37.588,0.926,38.514,0.0,1.889
B2400,10.208,0.246,10.454,0.0,3.065
B4071,41.661,0.568,42.229,0.0,12.687
B1109,67.057,9.348,76.405,0.0,17.124
B1486,91.711,8.569,100.28,0.0,15.48
B3291,45.165,0.973,46.138,0.0,2.316
B2831,6.013,0.908,6.921,0.0,2.213
B2825,12.117,1.108,13.225000000000001,0.0,2.787
B3285,0.0,0.0,0.0,0.0,0.227
B1492,31.34,3.609,34.949,0.0,6.151
B2819,12.931,1.103,14.033999999999999,0.0,2.768
B3252,87.421,3.948,91.369,0.0,6.686
B1445,44.013,0.978,44.991,0.0,2.215
B1323,45.282,12.771,58.053,0.0,9.592
B3534,202.424,4.026,206.45000000000002,0.0,71.849
B1337,129.136,7.044,136.18,0.0,12.649
B1451,211.338,19.581,230.91899999999998,0.0,41.028
B2158,0.0,0.0,0.0,0.0,6.804
B3246,89.655,3.627,93.282,0.0,5.971
B1479,69.895,1.5,71.395,0.0,4.688
B2170,173.27,4.298,177.568,0.0,7.109
B3508,21.098,0.445,21.543,0.0,6.403
B2616,128.42,3.324,131.744,0.0,5.525
B2602,49.35,7.944,57.294000000000004,0.0,16.495
B2164,160.528,4.547,165.075,0.0,54.313
B2603,31.724,4.85,36.574,0.0,9.383
B2165,158.783,7.047,165.82999999999998,0.0,13.299
B2171,140.144,5.857,146.001,0.0,10.32
B1478,38.442,0.97,39.412,0.0,2.018
B2617,85.647,4.243,89.89,0.0,7.468
B3509,188.583,3.79,192.373,0.0,64.039
B1336,117.254,5.37,122.62400000000001,0.0,9.466
B3521,0.0,0.0,0.0,0.0,0.217
B3247,103.379,3.665,107.04400000000001,0.0,5.918
B2159,1289.896,23.285,1313.181,0.0,283.172
B1450,79.041,5.401,84.442,0.0,9.01
B1444,44.983,1.223,46.205999999999996,0.0,2.974
B3253,172.216,4.045,176.261,0.0,6.728
B3535,0.0,0.0,0.0,0.0,0.705
B1322,583.329,107.397,690.726,0.0,243.08
B2818,5.951,0.904,6.8549999999999995,0.0,2.189
B2824,8.252,0.972,9.224,0.0,2.64
B1493,142.087,40.325,182.41199999999998,0.0,16.603
B3284,0.0,0.0,0.0,0.0,9.277
B3290,21.529,0.957,22.486,0.0,2.275
B1487,208.243,11.781,220.024,0.0,24.572
B2830,9.836,0.918,10.754,0.0,2.323
B2367,25.731,1.403,27.134,0.0,6.161
B3079,0.0,0.0,0.0,0.0,0.214
B1108,53.204,3.501,56.705,0.0,34.005
B4070,0.0,0.0,0.0,0.0,3.532
B2401,9.4,0.219,9.619,0.0,2.836
B4064,0.0,0.0,0.0,0.0,0.816
B2415,58.009,2.289,60.298,0.0,3.307
B2373,114.361,8.517,122.878,0.0,16.154
B1652,86.844,6.129,92.973,0.0,10.501
B3045,40.648,1.183,41.831,0.0,2.704
B3723,20.588,0.919,21.507,0.0,1.881
B1134,28.009,3.886,31.895,0.0,6.438
B1120,1461.817,27.212,1489.029,0.0,329.638
B4058,53.02,2.103,55.123000000000005,0.0,3.153
B3737,15.701,0.919,16.62,0.0,1.867
B2429,370.009,18.444,388.45300000000003,0.0,38.253
B3051,18.499,6.12,24.619,0.0,4.176
B1646,34.359,1.806,36.165,0.0,3.706
B1875,37.747,0.546,38.293,0.0,11.492
B3904,111.487,3.578,115.065,0.0,29.271
B3910,0.0,0.0,0.0,0.0,0.067
B1861,40.481,0.959,41.440000000000005,0.0,2.049
B3086,0.0,0.0,0.0,0.0,0.188
B2398,42.784,0.787,43.571,0.0,13.595
B1691,82.207,5.774,87.981,0.0,10.521
B1849,68.47,1.467,69.937,0.0,4.277
B1685,65.582,1.262,66.844,0.0,3.023
B3092,0.0,0.0,0.0,0.0,0.755
B2213,35.572,0.709,36.281000000000006,0.0,10.012
B2575,71.96,6.109,78.06899999999999,0.0,11.004
B4104,0.0,20.04,20.04,0.0,8.829
B2561,80.143,5.145,85.288,0.0,9.526
B4110,0.0,0.0,0.0,0.0,0.17
B1068,41.535,1.046,42.580999999999996,0.0,2.488
B3119,30.591,4.011,34.602000000000004,0.0,6.825
B2207,117.067,13.564,130.631,0.0,26.394
B1726,46.208,2.727,48.934999999999995,0.0,4.576
B3131,35.261,3.632,38.893,0.0,6.267
B2549,101.924,3.958,105.882,0.0,7.135
B3657,42.631,3.566,46.197,0.0,5.781
B4138,98.001,14.777,112.778,0.0,29.123
B1040,160.016,5.003,165.019,0.0,9.073
B1054,90.543,1.743,92.286,0.0,5.753
B3643,10.404,1.025,11.429,0.0,2.526
B3125,43.333,6.817,50.15,0.0,13.043
B1732,49.368,4.699,54.067,0.0,8.314
B1901,110.566,2.16,112.726,0.0,27.58
B3870,92.281,4.854,97.135,0.0,8.627
B3864,0.0,0.0,0.0,0.0,0.076
B1915,77.515,3.922,81.437,0.0,6.825
B1083,44.108,1.079,45.187,0.0,2.413
B3694,15.936,0.917,16.853,0.0,1.854
B3680,85.446,4.853,90.29899999999999,0.0,8.61
B3858,44.47,0.934,45.403999999999996,0.0,2.057
B1097,28.853,1.021,29.874000000000002,0.0,2.342
B1929,45.748,7.131,52.879,0.0,14.865
B3469,50.239,5.073,55.312,0.0,9.241
